date,home_team,away_team,home_score,away_score,neutral,result,home_hist_pts,home_rank_pos,away_hist_pts,away_rank_pos,result_binary,home_perf_pts,away_perf_pts,home_form,away_form,home_gf_avg,away_gf_avg,home_ga_avg,away_ga_avg,dif_points,dif_form,dif_ranking_pos,dif_gf,dif_ga
1887-03-12,Northern Ireland,Wales,4,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.0,1.0,1.1428571428571428,2.4285714285714284,6.428571428571429,3.142857142857143,0.0,-1.0,0.0,-1.2857142857142856,3.285714285714286
1887-03-19,England,Scotland,2,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,2.1666666666666665,2.1666666666666665,3.6666666666666665,4.166666666666667,0.6666666666666666,1.1666666666666667,0.0,0.0,0.0,-0.5000000000000004,-0.5000000000000001
1887-03-21,Wales,Scotland,0,2,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.8571428571428571,2.2857142857142856,2.4285714285714284,4.0,3.5714285714285716,1.2857142857142858,0.0,-1.4285714285714284,0.0,-1.5714285714285716,2.2857142857142856
1888-02-04,England,Wales,5,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.1666666666666665,0.5,3.8333333333333335,1.3333333333333333,1.0,2.8333333333333335,0.0,1.6666666666666665,0.0,2.5,-1.8333333333333335
1888-03-03,Wales,Northern Ireland,11,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.0,0.6,0.6666666666666666,1.6,3.6666666666666665,5.0,0.0,-0.6,0.0,-0.9333333333333335,-1.3333333333333335
1888-03-10,Scotland,Wales,5,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.5,0.42857142857142855,3.5,2.142857142857143,1.1666666666666667,3.142857142857143,0.0,2.0714285714285716,0.0,1.3571428571428572,-1.976190476190476
1888-03-17,Scotland,England,0,5,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,2.5714285714285716,2.1666666666666665,3.7142857142857144,3.6666666666666665,1.1428571428571428,1.0,0.0,0.4047619047619051,0.0,0.047619047619047894,0.1428571428571428
1888-03-24,Northern Ireland,Scotland,2,10,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.75,2.142857142857143,1.25,2.7142857142857144,5.75,1.5714285714285714,0.0,-1.3928571428571428,0.0,-1.4642857142857144,4.178571428571429
1888-04-07,Northern Ireland,England,1,5,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.6,2.4,1.4,4.6,6.6,0.8,0.0,-1.7999999999999998,0.0,-3.1999999999999997,5.8
1888-09-19,Scotland,Canada,4,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.5,0.0,4.0,2.0,1.8333333333333333,3.0,0.0,2.5,0.0,2.0,-1.1666666666666667
1889-02-23,England,Wales,4,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.4,0.5,4.2,2.3333333333333335,1.0,3.3333333333333335,0.0,1.9,0.0,1.8666666666666667,-2.3333333333333335
1889-03-02,England,Northern Ireland,6,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.4,0.75,4.2,1.75,1.2,6.75,0.0,1.65,0.0,2.45,-5.55
1889-03-09,Scotland,Northern Ireland,7,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.5,0.6,4.0,1.6,1.6666666666666667,6.6,0.0,1.9,0.0,2.4,-4.933333333333333
1889-04-13,England,Scotland,2,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,3.0,2.4,5.0,5.2,0.8,1.6,0.0,0.6000000000000001,0.0,-0.20000000000000018,-0.8
1889-04-15,Wales,Scotland,0,0,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,0.75,2.5,3.5,4.833333333333333,3.5,1.6666666666666667,0.0,-1.75,0.0,-1.333333333333333,1.8333333333333333
1889-04-27,Northern Ireland,Wales,1,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,0.6,0.8,2.8,7.8,2.8,0.0,-0.6,0.0,-1.9999999999999998,5.0
1890-02-08,Wales,Northern Ireland,5,2,1,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.2,0.0,3.2,0.8333333333333334,2.0,7.0,0.0,1.2,0.0,2.3666666666666667,-5.0
1890-03-15,Northern Ireland,England,1,9,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,2.4,1.1666666666666667,4.4,6.0,1.2,0.0,-2.4,0.0,-3.2333333333333334,4.8
1890-03-15,Wales,England,1,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.5,2.4,2.25,4.4,1.75,1.2,0.0,-0.8999999999999999,0.0,-2.1500000000000004,0.55
1890-03-22,Scotland,Wales,5,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.6,1.2,4.8,2.0,0.8,2.0,0.0,1.4000000000000001,0.0,2.8,-1.2
1890-03-29,Northern Ireland,Scotland,1,4,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,2.6,1.0,3.8,5.833333333333333,0.4,0.0,-2.6,0.0,-2.8,5.433333333333333
1890-04-05,Scotland,England,1,1,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,2.6666666666666665,2.5,3.8333333333333335,4.833333333333333,0.5,1.3333333333333333,0.0,0.16666666666666652,0.0,-0.9999999999999996,-0.8333333333333333
1891-02-07,Northern Ireland,Wales,7,2,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.0,1.0,1.0,1.6666666666666667,5.666666666666667,2.5,0.0,-1.0,0.0,-0.6666666666666667,3.166666666666667
1891-03-07,England,Wales,4,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.75,1.0,3.75,1.8333333333333333,1.5,3.0,0.0,0.75,0.0,1.9166666666666667,-1.5
1891-03-07,England,Northern Ireland,6,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.75,0.5,3.75,2.0,1.5,5.0,0.0,1.25,0.0,1.75,-3.5
1891-03-21,Wales,Scotland,3,4,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.8571428571428571,2.0,1.7142857142857142,2.6,3.142857142857143,0.8,0.0,-1.1428571428571428,0.0,-0.8857142857142859,2.3428571428571425
1891-03-28,Scotland,Northern Ireland,2,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.1666666666666665,0.5,2.8333333333333335,2.1666666666666665,1.1666666666666667,4.833333333333333,0.0,1.6666666666666665,0.0,0.666666666666667,-3.666666666666666
1891-04-04,England,Scotland,2,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.1666666666666665,2.2857142857142856,4.166666666666667,2.7142857142857144,1.3333333333333333,1.1428571428571428,0.0,-0.11904761904761907,0.0,1.4523809523809526,0.19047619047619047
1892-02-27,Wales,Northern Ireland,1,1,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,0.0,0.6,1.4,2.2,4.6,4.6,0.0,-0.6,0.0,-0.8000000000000003,0.0
1892-03-05,Northern Ireland,England,0,2,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.6666666666666666,2.6666666666666665,2.0,4.166666666666667,4.0,1.0,0.0,-2.0,0.0,-2.166666666666667,3.0
1892-03-05,Wales,England,0,2,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,2.6666666666666665,1.3333333333333333,4.166666666666667,4.0,1.0,0.0,-2.6666666666666665,0.0,-2.833333333333334,3.0
