home_team_id,away_team_id,home_strength,away_strength,result
163,109,1.8095238095238095,0.18421052631578946,0
165,170,1.853658536585366,1.119047619047619,1
180,161,2.02,0.1282051282051282,0
181,60,2.2888888888888888,2.418181818181818,2
194,19,1.744186046511628,2.0784313725490198,0
1,25,1.1538461538461537,1.6046511627906976,1
4,138,0.3333333333333333,1.0444444444444445,2
9,169,1.25,1.2916666666666667,0
12,13,2.0476190476190474,0.5428571428571428,0
50,140,1.0,1.631578947368421,2
51,163,1.5116279069767442,1.2307692307692308,0
72,118,0.975,0.3157894736842105,0
73,194,3.0517241379310347,1.5319148936170213,0
76,104,1.5681818181818181,0.6578947368421053,0
86,161,1.813953488372093,0.1282051282051282,0
153,155,1.4,1.8333333333333333,2
98,19,0.9210526315789473,2.0784313725490198,2
111,18,0.8611111111111112,0.6944444444444444,1
122,131,0.7435897435897436,2.297872340425532,2
124,181,1.3888888888888888,1.4464285714285714,0
139,93,1.1538461538461537,1.5961538461538463,1
150,53,2.6,1.8,0
165,63,1.853658536585366,0.7368421052631579,2
170,66,1.5348837209302326,0.5263157894736842,0
176,110,2.7857142857142856,0.45714285714285713,0
207,30,1.4680851063829787,0.6764705882352942,2
69,154,2.4545454545454546,1.3777777777777778,0
92,47,1.5897435897435896,1.5892857142857142,2
9,4,1.25,0.28205128205128205,0
13,194,1.0,1.5319148936170213,0
18,1,0.8,1.0238095238095237,0
19,12,3.0576923076923075,1.673913043478261,1
53,50,1.9795918367346939,0.8648648648648649,0
60,124,2.4482758620689653,1.054054054054054,1
63,170,0.8918918918918919,1.119047619047619,2
66,139,0.631578947368421,0.9761904761904762,1
68,86,1.4473684210526316,1.4651162790697674,2
69,111,2.4545454545454546,0.5945945945945946,0
76,92,1.5681818181818181,1.6097560975609757,0
87,150,1.619047619047619,1.9107142857142858,2
93,165,2.1272727272727274,1.2790697674418605,0
98,73,0.9210526315789473,2.5652173913043477,2
104,72,0.8157894736842105,0.8055555555555556,1
109,51,0.21052631578947367,1.5957446808510638,2
138,155,1.358974358974359,1.8333333333333333,2
131,180,2.694915254237288,1.574468085106383,0
161,122,0.15384615384615385,0.6486486486486487,2
163,176,1.8095238095238095,2.0377358490566038,2
169,153,1.4090909090909092,1.2666666666666666,1
181,207,2.2888888888888888,1.146341463414634,0
47,118,1.981818181818182,0.3157894736842105,0
68,161,1.4473684210526316,0.1282051282051282,0
152,203,2.0384615384615383,1.45,2
101,41,1.608695652173913,1.2432432432432432,2
96,97,2.740740740740741,1.4722222222222223,1
162,182,1.813953488372093,1.4827586206896552,2
88,11,0.7333333333333333,1.6122448979591837,2
174,15,2.26,0.7692307692307693,0
91,90,1.6222222222222222,1.7446808510638299,2
137,199,1.2,1.125,1
152,41,2.0384615384615383,1.2432432432432432,0
203,101,1.794871794871795,1.0476190476190477,0
97,162,2.0588235294117645,1.5128205128205128,0
182,96,1.5555555555555556,1.9803921568627452,2
11,174,2.310344827586207,1.5490196078431373,1
15,88,1.9230769230769231,0.7,0
90,137,2.24,0.8076923076923077,0
199,91,2.2045454545454546,1.1363636363636365,2
41,203,2.1842105263157894,1.45,1
152,101,2.0384615384615383,1.0476190476190477,0
97,182,2.0588235294117645,1.4827586206896552,0
162,96,1.813953488372093,1.9803921568627452,2
11,15,2.310344827586207,0.7692307692307693,0
174,88,2.26,0.7,0
91,137,1.6222222222222222,0.8076923076923077,0
199,90,2.2045454545454546,1.7446808510638299,2
152,96,2.0384615384615383,1.9803921568627452,2
203,97,1.794871794871795,1.4722222222222223,0
11,91,2.310344827586207,1.1363636363636365,0
90,174,2.24,1.5490196078431373,2
96,174,2.740740740740741,1.5490196078431373,1
203,11,1.794871794871795,1.6122448979591837,2
203,174,1.794871794871795,1.5490196078431373,2
11,96,2.310344827586207,1.9803921568627452,2
12,19,2.0476190476190474,2.0784313725490198,2
86,131,1.813953488372093,2.297872340425532,2
111,69,0.8611111111111112,1.44,2
165,139,1.853658536585366,0.9761904761904762,0
170,93,1.5348837209302326,1.5961538461538463,2
176,51,2.7857142857142856,1.5957446808510638,0
1,18,1.1538461538461537,0.6944444444444444,0
4,169,0.3333333333333333,1.2916666666666667,2
9,155,1.25,1.8333333333333333,1
25,154,1.9318181818181819,1.3777777777777778,0
30,181,1.1428571428571428,1.4464285714285714,1
50,87,1.0,1.3478260869565217,1
72,47,0.975,1.5892857142857142,0
73,98,3.0517241379310347,0.8461538461538461,0
153,138,1.4,1.0444444444444445,0
92,104,1.5897435897435896,0.6578947368421053,0
118,76,0.5526315789473685,1.0,2
140,53,1.9230769230769231,1.8,1
207,60,1.4680851063829787,2.418181818181818,2
19,13,3.0576923076923075,0.5428571428571428,0
51,109,1.5116279069767442,0.18421052631578946,0
63,165,0.8918918918918919,1.2790697674418605,1
92,72,1.5897435897435896,0.8055555555555556,0
110,176,0.9714285714285714,2.0377358490566038,2
131,86,2.694915254237288,1.4651162790697674,0
139,170,1.1538461538461537,1.119047619047619,1
154,111,1.5227272727272727,0.5945945945945946,0
180,122,2.02,0.6486486486486487,0
194,12,1.744186046511628,1.673913043478261,0
